#NAME	year	sample_dna	soil_type	sampling_site	season	soil_depth	soil_depth_num	sampling_site_depth	soil_depth_two	rhizosphere	rhizosphere_type	rhizosphere_type_seasons
515rcbc53	2019	138	Chern_taiga	T1	Summer	70-110	110	T1-30+	bottom	soil	T1_soil	T1_soil
515rcbc54	2019	139	Chern_taiga	T1	Summer	70-110	110	T1-30+	bottom	soil	T1_soil	T1_soil
515rcbc55	2019	140	Chern_taiga	T1	Summer	70-110	110	T1-30+	bottom	soil	T1_soil	T1_soil
515rcbc56	2019	141	Control	T3	Summer	3-17	17	T3-top	top	soil	T3_soil	T3_soil
515rcbc57	2019	142	Control	T3	Summer	3-17	17	T3-top	top	soil	T3_soil	T3_soil
515rcbc58	2019	143	Control	T3	Summer	3-17	17	T3-top	top	soil	T3_soil	T3_soil
515rcbc59	2019	144	Control	T3	Summer	3-17	17	T3-top	top	soil	T3_soil	T3_soil
515rcbc60	2019	145	Control	T3	Summer	3-17	17	T3-top	top	soil	T3_soil	T3_soil
515rcbc61	2019	146	Control	T3	Summer	20-30	30	T3-30+	bottom	soil	T3_soil	T3_soil
515rcbc62	2019	147	Control	T3	Summer	20-30	30	T3-30+	bottom	soil	T3_soil	T3_soil
515rcbc63	2019	148	Control	T3	Summer	20-30	30	T3-30+	bottom	soil	T3_soil	T3_soil
515rcbc64	2019	149	Control	T3	Summer	20-30	30	T3-30+	bottom	soil	T3_soil	T3_soil
515rcbc65	2019	150	Control	T3	Summer	20-30	30	T3-30+	bottom	soil	T3_soil	T3_soil
515rcbc66	2019	151	Control	T3	Summer	60-70	70	T3-30+	bottom	soil	T3_soil	T3_soil
515rcbc67	2019	152	Control	T3	Summer	60-70	70	T3-30+	bottom	soil	T3_soil	T3_soil
515rcbc68	2019	153	Control	T3	Summer	60-70	70	T3-30+	bottom	soil	T3_soil	T3_soil
515rcbc69	2019	154	Control	T3	Summer	60-70	70	T3-30+	bottom	soil	T3_soil	T3_soil
515rcbc0	2019	155	Control	T3	Summer	60-70	70	T3-30+	bottom	soil	T3_soil	T3_soil
Lapidus-221	2019	221	Control	N3	Fall	0-10	10	N3-top	top	soil	N3_soil	N3_soil
Lapidus-222	2019	222	Control	N3	Fall	0-10	10	N3-top	top	soil	N3_soil	N3_soil
