#TAXONOMY,"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"aac858a75afb1e8bd27f131143febf7f","Bacteria",NA,NA,NA,NA,NA,NA
"835248609cad9ae50b0cd1e80c433c33","Bacteria",NA,NA,NA,NA,NA,NA
"a8850b162a13ad01e8a93ffaeef372be","Bacteria",NA,NA,NA,NA,NA,NA
"dfcbbd813e2b885835ccebfcacf0c506","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"9d4eb583e2b38fe05239485ffdb1c40b","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"52042cdac57c67ec03f422a03430fe3f","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"f7fba6afec752a58a3ca8b0aa6a66d54","Bacteria",NA,NA,NA,NA,NA,NA
"f59e867451458c1bb7ac23f02bbcbbc8","Bacteria",NA,NA,NA,NA,NA,NA
"bf3f5ad31891ccccfa9fab624bbc1113","Bacteria",NA,NA,NA,NA,NA,NA
"4f9b2363b9bd5b4a5454ce67e51396ca","Bacteria",NA,NA,NA,NA,NA,NA
"5fdad581c484b20834989b33092deb81","Bacteria",NA,NA,NA,NA,NA,NA
"e4daf342c211bde973d32c1aef81a270","Bacteria",NA,NA,NA,NA,NA,NA
"727a2abc7537b9793c114c6ea636adcc","Bacteria",NA,NA,NA,NA,NA,NA
"81e516a1a221f32887993ebe97255c8b","Bacteria",NA,NA,NA,NA,NA,NA
"b358e91cb623e0cd5935cbd63f924189","Bacteria",NA,NA,NA,NA,NA,NA
"af1b3cc098902d58d2c62b53dcfa6f36","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA
"f66467fb655b1f987f2c280972421a3f","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"9bd4e71d14489d04b791402aec1f06f6","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"01148034e18eef1c458962c4b11eb0ac","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"b7dacf9c892dc2bbf153682bd860f625","Bacteria",NA,NA,NA,NA,NA,NA
"d5426a824ef1454a92eb2346a6c74145","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"474dbe493c790ee8af8737d2b4fc7666","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"7a81bfb8d44996abef199eb54161e4a5","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"d68f9a06e5f478c81e2e2fe89606fe06","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"cdf32c1e6fa398f399fd554672b6303d","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"69eb02cd9b20885206c38465ce7c148c","Bacteria",NA,NA,NA,NA,NA,NA
"3683fe35f204d5731ad5550b422c5a93","Bacteria","Cyanobacteria","Chloroplast","Chlorophyta","Ulvophyceae","Codium",NA
"b94b125cdb7ba9922883ff597f2314e6","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"1984cc243af2c6cc0a64f569935c914e","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Acanthamoeba",NA
"acdb4b5308bc06c3cb78ba94ce5688f1","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"f31bce6605ca67d71c9581f17227d8b2","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"7603d09360cd5705e73c7a44c7736139","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"dd54deaa0aa08b8cbf95ce9d9c2a8ec9","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"e4e27143cd5afbe5957df38e7d25942c","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"f369757fb70e4eb731d98167c1465164","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"9138a4296f55c09a55c13af8f3b1469f","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"183d90d5dc753aa485067b6eca38fb56","Bacteria",NA,NA,NA,NA,NA,NA
"1a3c4a030482605d6643446e08bb1fdd","Bacteria",NA,NA,NA,NA,NA,NA
"79758bce42c066b6f334a98431369b01","Bacteria",NA,NA,NA,NA,NA,NA
"a397453ccf3dd813daadf4e3fa078a98","Bacteria",NA,NA,NA,NA,NA,NA
"41ac9e2a6bf43972b842e17f27d9e249","Bacteria",NA,NA,NA,NA,NA,NA
"fa1727500a8483b23028affd86b851ee","Bacteria",NA,NA,NA,NA,NA,NA
"acb4a33e2016ecd311f1a4c7a53c5f73","Bacteria",NA,NA,NA,NA,NA,NA
"3c7fd307c265d7baa4381873b0610410","Bacteria",NA,NA,NA,NA,NA,NA
"5d18cd05c73b42b44951893438c34304","Bacteria",NA,NA,NA,NA,NA,NA
"96c244a93cc19ad3eea37c0cf0b9b261","Bacteria",NA,NA,NA,NA,NA,NA
"aedd9afc06ed2d593849463980e84038","Bacteria",NA,NA,NA,NA,NA,NA
"5a107be1f9da708d9f3fde4c831e9c4a","Bacteria",NA,NA,NA,NA,NA,NA
"b09437ae8738a1d6c26df85abe00c77a","Bacteria",NA,NA,NA,NA,NA,NA
"2895c2fbbfb0cf5ee4d7822a6988b6a4","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"dd753e084a828647b1905bb0a8e191e4","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"9380822f4f022b09f5176649d7f4b383","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"44f1e91c8e2b09fa0174463cfeef0ceb","Bacteria",NA,NA,NA,NA,NA,NA
"4a9f05f9f1d5dec8a7725c55dc1800da","Bacteria",NA,NA,NA,NA,NA,NA
"c7f9cdef531433e0fc50ca03856607d6","Bacteria",NA,NA,NA,NA,NA,NA
"29473fb6e66e3db6cce4878710c6d21c","Bacteria",NA,NA,NA,NA,NA,NA
"938767f6bc69b3f6b3a34e04a0df5202","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"3fb2c9c3f21179bb69f5489c3edcb7d3","Bacteria",NA,NA,NA,NA,NA,NA
"81f103229e286b7a2641b293bbaf362f","Bacteria",NA,NA,NA,NA,NA,NA
"f71a87ca6b6b2c0011a42eab3ae116dd","Bacteria",NA,NA,NA,NA,NA,NA
"0c18a58f434e3d42c172fcd31d6f8c98","Bacteria",NA,NA,NA,NA,NA,NA
"aa8d95ca00916e7dd7e7d665d04ed758","Bacteria",NA,NA,NA,NA,NA,NA
"2ae90b38f27ab114542c29f4a8a82c3b","Bacteria",NA,NA,NA,NA,NA,NA
"766b5574fbb67fc30456c776a61b4538","Bacteria",NA,NA,NA,NA,NA,NA
"0c201b3d876228c561a13a5e7163d88e","Bacteria",NA,NA,NA,NA,NA,NA
"86ef82351200923acbb11b9ada675645","Bacteria",NA,NA,NA,NA,NA,NA
"d788d2221993aaab671352c0502b7697","Bacteria",NA,NA,NA,NA,NA,NA
"fdd5de984d95733bbad6b8c7f8e8d674","Bacteria",NA,NA,NA,NA,NA,NA
"2330476865254c3e48509272d89f773a","Bacteria",NA,NA,NA,NA,NA,NA
"58f06b3a983ef9b56353c2a146f26455","Bacteria",NA,NA,NA,NA,NA,NA
"fb0417081f32a16d7f5c957f5f50c53e","Bacteria",NA,NA,NA,NA,NA,NA
"f1de6592f2708b05030d15dc4e4c07f9","Bacteria",NA,NA,NA,NA,NA,NA
"8e2e3d4f5e85edb6e3d3208d55ba0ff4","Bacteria",NA,NA,NA,NA,NA,NA
"421acf78debb16abd5ab5bc9cb2f9102","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ff01bc0c1a26242d209968671987e543","Bacteria",NA,NA,NA,NA,NA,NA
"75dbc9b3f5e7c8177543ec49e1a1b9c9","Bacteria",NA,NA,NA,NA,NA,NA
"f9451b0690cd78fb6ce8335eeddf82f8","Bacteria",NA,NA,NA,NA,NA,NA
"8adfc2fcf10b8a0be1c518ce114f3e20","Bacteria",NA,NA,NA,NA,NA,NA
"06fb6e1dccb0ffab3bf5e778cd478159","Bacteria",NA,NA,NA,NA,NA,NA
"99ebcf5990ed51e2c499a1589516defe","Bacteria",NA,NA,NA,NA,NA,NA
"129fbba71044e83d0556180d87063dd4","Bacteria",NA,NA,NA,NA,NA,NA
"d97cf8469f12515c8baca31a22791a46","Bacteria",NA,NA,NA,NA,NA,NA
"1bd072fd0eb0f429b7d36cff03fb9659","Bacteria",NA,NA,NA,NA,NA,NA
"4a58b9cdef622dc380f264b1900e8db3","Bacteria",NA,NA,NA,NA,NA,NA
"8ff52982bcc0504701f4ae3f92c08d2e","Bacteria",NA,NA,NA,NA,NA,NA
"5e92b6f91c0445b6500395ed15384f5f","Bacteria",NA,NA,NA,NA,NA,NA
"70caa8d8923a4280a9eedb5ddd971ae9","Bacteria",NA,NA,NA,NA,NA,NA
"e0e7896bdc7872479a99bdeb60671d90","Bacteria",NA,NA,NA,NA,NA,NA
"89fbbef34c0c16dd3dfd8a5d39d05958","Bacteria",NA,NA,NA,NA,NA,NA
"d73553514d6a835d5e746a6c03e9413a","Bacteria",NA,NA,NA,NA,NA,NA
"2a586c21b45f4b7615c63ddf64fe8dff","Bacteria",NA,NA,NA,NA,NA,NA
"ed5319fd4f2111f36f72ddca029fa6e2","Bacteria",NA,NA,NA,NA,NA,NA
"6c9ca05d70d3ef88b3eb3b4ed21bd17c","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Saprolegnia","ferax"
"7e067a46ac2db17da0c3cfbb82166b4a","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"4a09bd65a2ed15b64e2518bfe6151bdb","Bacteria",NA,NA,NA,NA,NA,NA
"dbced55a0f0ea87dc95576b7576269ca","Bacteria",NA,NA,NA,NA,NA,NA
"e74379564967d1c58bbdd61965bbef90","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"f602cb7a8b6d569e265a73ce028470bf","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"8990f6919b0826a27f0ec1852f741c33","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"2b78555dd8fdd82df357241d5205d02e","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"38c9303e53bc69cdd94d07e76818f4ad","Bacteria",NA,NA,NA,NA,NA,NA
"7c49c680855c3633c1b69f422614d657","Bacteria",NA,NA,NA,NA,NA,NA
"3ee6f8f8dbdf49f1a5573c42fd64a25e","Bacteria",NA,NA,NA,NA,NA,NA
"c9e8b058a4a37bbb7aef94f2a6059151","Bacteria",NA,NA,NA,NA,NA,NA
"67c47f5b3722f8f81beee0bb79fe369c","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"b24f1d118c882bf22dc7da1ab5fb67c9","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"cef021eb09c4c6b6b6fc95bb75f75906","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"a28b015484d24746604790e6253008e1","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"901bb13d3c43d6bc0a7831f584217f2e","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"91fdc74a6c1068d36d3d3ca62e2d3798","Bacteria",NA,NA,NA,NA,NA,NA
"b826fc6aec080981241728b417d14488","Bacteria",NA,NA,NA,NA,NA,NA
"495338750164b801813b7d0bd721cc61","Bacteria",NA,NA,NA,NA,NA,NA
"fe704dd7423f6b5bacc1527c0511f5f1","Bacteria",NA,NA,NA,NA,NA,NA
"d267522d0e73237d9cc069bb368c406d","Bacteria",NA,NA,NA,NA,NA,NA
"a521f63078db2d4936d411fa696f2060","Bacteria",NA,NA,NA,NA,NA,NA
