#TAXONOMY,2019-036,2019-037,2019-038,2019-039,2019-040,2019-096,2019-097,2019-098,2019-099,2019-100,2019-111,2019-112,2019-113,2019-114,2019-115,2019-156,2019-157,2019-158,2019-159,2019-160,2019-171,2019-172,2019-173,2019-174,2019-175,2019-191,2019-192,2019-193,2019-194,2019-195,2019-206,2019-207,2019-208,2019-209,2019-210,2019-236,2019-237,2019-238,2019-239,2019-240,2019-261,2019-262,2019-263,2019-264,2019-265,2020-276,2020-277,2020-278,2020-279,2020-280,2020-291,2020-292,2020-293,2020-294,2020-295,2020-306,2020-307,2020-308,2020-309,2020-310,2020-326,2020-327,2020-328,2020-329,2020-330,2020-341,2020-342,2020-343,2020-344,2020-345,2020-356,2020-357,2020-358,2020-359,2020-360,2020-371,2020-372,2020-373,2020-374,2020-375,2020-391,2020-392,2020-393,2020-394,2020-395,2020-411,2020-412,2020-413,2020-414,2020-415
34770cfa6494d639d9c81f5ee3c96349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8,26,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
72c3b72f32724fabef3a3fa6c8c47d80,0,0,0,0,0,0,0,0,0,0,0,26,85,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
8bf1df4f8055810be0788368709a892f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,7,0,0,6,0,11,10,13,4,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,13,0,17,9,0,20,0,5,18,15,0,0,0,0,0,0,0,0,0,0
804c8b96e8b49d87d84ea573bf86eb86,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10edfa1863158abcfb5b7f4e34e544b4,9,0,0,18,29,0,0,0,0,22,0,0,0,0,0,0,0,20,0,9,0,0,7,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,26,32,0,0,0,0,5,0,45,0,13,15,43,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f96f46fdeddf113bb392ac6f057221e7,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,0,42,28,61,24,18,32,81,50,57,78,73,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59ed3509551d3c5ea17865a53778e69f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,0,6,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,11,0,11,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9efed06705f563aadf43685247ef7dac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,12,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,8,8,25,16,18,36,39,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b4578d22a2e0e52761ee6e257d4a9a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,8,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5a2ac77ba55c551ca80773c8517be18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,0,0,38,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7f2a76951a688179c6b83247063ce8da,0,2,33,20,27,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,107,32,26,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,0,77,72,97,33,0,0,10,15,0,0,68,112,100,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12083f8b97008ab74d70d78c7fee584c,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,17,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
70a066739c71921239d7170a4b2e5d43,0,0,0,0,0,0,0,7,0,0,8,22,41,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0
6e17cc04f5efbdf41e30d4e0a017f1e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,50,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6718cd715ddcc9c4bc3a0743cf2ca57a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,41,45,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a8ccfdfe1d48aff4b7b17be27e2b398,0,0,0,0,0,13,0,29,0,0,0,0,0,0,0,0,0,0,26,0,0,29,17,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,61,69,28,24,33,30,0,0,0,0,0,0,0,0,0,0,0
4f9850f4e9515add62cafce57febbfc5,0,0,0,0,0,0,0,0,0,0,22,0,29,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
e90658353f5ead540c3d88f38c6fb766,11,0,0,0,0,65,0,0,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
