,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
f602cb7a8b6d569e265a73ce028470bf,0.0,,,,,
c498dfa7ffee71685fa77e2c8a6ab665,0.0,,,,,
09fef5f9e661845523b57faab824cc17,1.2142552442311043,1.6323094384207006,2.131995507482446,0.7656251773007736,0.4438993591744165,
88dd2ff88ae1f796e5f00b160eb0398d,0.0,,,,,
aa6486d5276e236ae3d02c5b4d1b2dcd,7.980108138679868,2.2765224986842494,1.2627561621438272,1.8028203440475112,0.07141643407913578,0.22598303684270146
61478c71b0793379c95edeacb2fd6946,0.0,,,,,
834798c7e260d6082592aa102f9b97cc,85.84643416938358,9.656175591520075,1.4979079969473337,6.44644104390851,1.145071290747889e-10,7.1452448542668275e-09
e5c322ade0c65d5e69c472f221837684,0.0,0.0,0.0,0.0,1.0,
f1183cfaedc90766c12f6180ae405f3f,0.0,,,,,
43b7c951ff3fafca0b3d6ed6f7b00125,0.0,,,,,
f0a09677501c2929cf4eec7d20697ae1,0.3533116896341525,-2.2983989987391062,3.0067837652700136,-0.7644044860448109,0.4446262362332989,
273898b07f95ea008fe021938899f1a7,5.454921284596575,5.67219480532911,2.4639871946895378,2.302039076158351,0.02133296861736568,0.11112476814820223
5cb64a110857f425e4e5346ea9bce1c8,0.0,,,,,
2b3e494bd04bdbacb717c00e33846c1b,2.6462357036930935,-3.302552683911092,1.8622852431884103,-1.773387130672209,0.07616458001544675,
1c9b8aef27f1b300106386145f44609a,1.41673944677267,3.7284187266722726,2.9701486884968555,1.2552969961107117,0.20937096523084264,
1f4581e7b4e2b385258dc9424837b62d,0.0,,,,,
f628b8d7ba54cb24eb48e06b9050f11a,0.0,,,,,
f04070493e5423051ff8d0a6c4859f87,0.0,,,,,
1b4cc62186140c02cd553e8fcb7b102e,0.0,,,,,
97a02cf8c5f57518a1308d65aaab5813,2.917326082317272,4.774302145713129,2.4495603059841966,1.9490445424224354,0.05129010560655369,0.1839369304510891
ec09d76d559b295969a6eb862075c8ec,0.11552770779504935,0.8168198397635583,3.013808541687847,0.27102578961638624,0.7863711970896182,
2ddf25a16baf495341cb4072075d6658,0.0,,,,,
3e2513be14307fac7694b635b0cc75cc,0.0,,,,,
2a6d12ea9223d268a24b3254bc59c038,0.0,,,,,
12c0ef79ba5ac2508fe39b76d13af158,0.0,,,,,
1a84411ef11fc55dbb93803ef0a01bad,0.0,,,,,
c0190a6c5a0cccae42c2159ce631c1a6,0.0,,,,,
7d82261b9be66e3a82f4bd85b716e258,0.0,,,,,
e58dc6a3b02a43d795c84ec00be35f3b,0.34295115341657945,-1.2990707169947064,3.008198596130382,-0.4318434024488195,0.6658552321835493,
d257af37cbc33d0c4c0ce6d017248d83,0.19824577458376996,-1.7422463335177882,3.0182809078344004,-0.5772313401961782,0.5637831884200848,
2daa266b9680882f1b5dffb40cbb17f3,0.0,,,,,
aeb295550899aa9b373cc9f8b9334b3a,0.0,,,,,
f42826837f34f1050d5166fb3bfccf65,0.0,,,,,
f944d82e6eab25ba0a3a5eac7fe0989e,0.0,,,,,
04443f1fefc29f72054a4cf21f8a1946,0.740690168814168,2.8130764330925935,2.9818913224951595,0.9433866391678867,0.3454831746553387,
594d3e33075ff5e1cd9a46d488c84f51,0.0,0.0,0.0,0.0,1.0,
be50956c59d099ba593ad02d11d8a0a7,0.7017178822680324,2.716552648057043,2.983602121275678,0.9104942742484531,0.3625618999906999,
b771b4da1b90a252d5b3caf203392235,0.8583230711577199,2.954805307126963,2.9795703749015776,0.9916883762896748,0.32134956297739,
7165680a66d37efc4f2de676eb3a3c76,1.6731505952079981,-4.415096154288338,2.770513452795308,-1.5936021353131236,0.11102517593352618,
1aba46b41661ce62e8f9c8716c57cebf,0.0,,,,,
59a112ead680f1e3c1fa0a1353ac0564,0.0,,,,,
61fda988d8601f506ba1a9502097e329,0.0,,,,,
3784558c1615cebf59ccde7efbfdc5ae,0.5621499689283166,-2.8499329859891276,2.9952100774886414,-0.9514968607406253,0.34135221137015986,
0d86993cf49a0b5da467a646e7970eeb,0.0,,,,,
d56777fd9295997f2d02fdbeae883c4c,0.0,,,,,
2c772b329685b0be2f79a2b9c15f13ac,4.025359391555975,-1.8422200699564018,1.1010436244943596,-1.6731581101542803,0.09429617438407685,0.2702690116107534
85733e91caf5917e8dcda0d96eed5f37,3.6188784206816793,-1.9950345153699696,1.9332115502611793,-1.0319794101687618,0.3020817631295274,0.5965158866861554
e0c2c74329c14e53718b39621aba3f04,0.0,,,,,
b654b0af68c5f3366356bc4f4aa50c17,0.0,,,,,
cf65f28bafffe121044361897e40173d,0.0,,,,,
2f17091fd6115e7d54169acd806f5290,0.0,,,,,
4d75f0a4382f8640e6b863fab9ff9222,2.0539238478672646,-0.3740179380493768,2.384342471035977,-0.1568641848194186,0.8753518867320469,
9ec939298a796a806e33d89bdd16e6c9,1.9319018114481752,-2.1863404084771227,2.655921481646124,-0.8231946703191098,0.4103972992205092,
9ece8aa23e03be7a4d143855b35bf05f,2.141886449708973,-4.764775037448738,2.9669705271448366,-1.6059394570508112,0.10828721299206696,
400893d30b98c6561e43570c1e72680e,0.0,,,,,
e4571878cfac3bb0c3c9e589900b27a6,0.0,,,,,
8221ff4578eea7879566813a7984a563,0.31152907434592425,-2.1830801249667386,3.009253456796369,-0.7254557172764142,0.4681725021283411,
97a7aa93e3d6036d4178edfdf6d77a5a,0.0,,,,,
3adaaed451672ada95abf4e7fb655e45,2.5529661144509763,-2.0137629994434247,2.6123519123683843,-0.7708620687393251,0.4407886922999424,
8c0fbf8c1df151df7478039bddb86fad,1.982323991624998,-3.048599935491849,2.8959341678401853,-1.0527172783646264,0.2924705872836142,
43a5b0eea9b84b34d25b61906c4c4a93,0.0,,,,,
14b84b8b7c5e90c9705114d605d4d39c,0.0,,,,,
6853ed33f7236ae327116b1ac4d19fa1,1.459827790531074,-4.214155723785127,2.9717532533269706,-1.4180705343107636,0.15617017291063442,
4005b9327fa9bf144726f8ed09c578db,0.0,,,,,
c52b4feab04c4e2783b1393642e7cf23,2.1609218859842683,-1.7942521480563185,1.748627624192387,-1.0260916179252306,0.3048484009062829,
6e0d446679cac8bd2dc37554c803edf5,0.49775387078914823,-0.42297921236685077,2.9906557510502023,-0.14143360104830416,0.8875274112570312,
cdd27c74f29e263a7849ae1bf49188e4,0.0,,,,,
409f7bf3327cfb01048a9bb7c8b74818,0.0,,,,,
45b05678d97bc453472b763814c8154a,0.0,,,,,
159aa4f26d7ae4777eb7da475d1483e5,8.100559169589618,-3.629631932995699,1.2254653439637488,-2.96183972143652,0.0030580692762675037,0.028738482355284974
234289f53788b193b6075007fa2a4cf7,0.0,,,,,
25b56510140dbb5c1ca5e2581c92901e,13.740793889136496,-0.16817274565862353,1.236039608685301,-0.13605773186953005,0.8917756418067935,0.968192241018789
2b3264b3326d7207e85a45b3f127bfff,0.0,,,,,
6a5bf65059ba914be79bc5193f2138b4,0.0,0.0,0.0,0.0,1.0,
73cfda77ee15fbd0ffca0467e7f751fb,0.0,0.0,0.0,0.0,1.0,
e00507c659b83cd6d7f867fea222d46c,0.0,0.0,0.0,0.0,1.0,
02115ed3ca039f0c08b604f3856cfc26,1.4413714161142315,-4.191889353178309,2.9719872204101527,-1.4104668164083833,0.1584018881133879,
34770cfa6494d639d9c81f5ee3c96349,0.0,0.0,0.0,0.0,1.0,
72c3b72f32724fabef3a3fa6c8c47d80,0.0,0.0,0.0,0.0,1.0,
8bf1df4f8055810be0788368709a892f,3.7876598346539905,-1.6847622214801259,1.6056524470900242,-1.0492695505390814,0.29405407611416273,0.5918080705346028
804c8b96e8b49d87d84ea573bf86eb86,0.9707966700766678,3.2048225348525246,2.9759756571192746,1.0768981013624193,0.28152579141924106,
10edfa1863158abcfb5b7f4e34e544b4,0.0,0.0,0.0,0.0,1.0,
f96f46fdeddf113bb392ac6f057221e7,0.0,,,,,
59ed3509551d3c5ea17865a53778e69f,1.783799069706823,-0.5094688834481624,2.3870850633525937,-0.21342720092790818,0.8309937659578985,
9efed06705f563aadf43685247ef7dac,0.2548874244648471,-1.9760262834898878,3.0137070355418496,-0.6556796198787146,0.5120302844918418,
2b4578d22a2e0e52761ee6e257d4a9a3,0.0,,,,,
d5a2ac77ba55c551ca80773c8517be18,0.0,,,,,
7f2a76951a688179c6b83247063ce8da,0.0,,,,,
12083f8b97008ab74d70d78c7fee584c,0.38473154063923654,0.09244748636702334,2.999975550317706,0.03081607993679578,0.9754162165751131,
70a066739c71921239d7170a4b2e5d43,1.140289596672281,1.5205580731236272,2.6889876682496143,0.5654760306555918,0.5717500231556101,
6e17cc04f5efbdf41e30d4e0a017f1e9,0.0,,,,,
6718cd715ddcc9c4bc3a0743cf2ca57a,0.0,,,,,
0a8ccfdfe1d48aff4b7b17be27e2b398,11.316492952637885,0.2525864390673868,1.7635649131452644,0.14322491742983623,0.8861125514277712,0.9680221150051281
4f9850f4e9515add62cafce57febbfc5,0.0,,,,,
e90658353f5ead540c3d88f38c6fb766,7.528397771713603,6.142643084170614,2.7329956078892055,2.247586152878894,0.024602591355644216,0.12145583074305372
8001197676344085202f7a98e2a62647,1.1598480769459767,-3.890100300886279,2.9755360345772655,-1.3073611798618145,0.19109007504880038,
bd10952a3089abbc171ba0ab477737e4,0.0,,,,,
65e8cc04fa6008fc18d5c77283bc7c0d,0.0,0.0,0.0,0.0,1.0,
fe106aac5b74b8d2f387ba0f024cfb7e,0.0,,,,,
c313a65825c2255ba39c2dfef7194a0b,0.0,,,,,
fe17da4a82ae9cbd572ddc162797c488,0.0,,,,,
b1dc8ae8c4617fa3a35d0589bb608727,0.9491404547805382,3.1840635765024574,2.9762517337282106,1.0698233420309278,0.28469883348944885,
915c5b00fa18ace8b067f0f92cce6eb9,13.187000456438895,-2.097500300909475,2.2910047336333337,-0.9155373055833989,0.3599096272476234,0.6597453446205417
622eae0d2034ab363bd5e8242db97efc,14.816915722781378,-7.549563723945438,2.1787128345312636,-3.465148597965495,0.0005299385772471432,0.008237094817101642
878abc4c9e4378c919bcc48918980392,0.0,,,,,
6b419c2eb377e79e8eba67db339e9c9f,0.0,,,,,
3cb786afce01d418014f572b94f8cdee,0.0,0.0,0.0,0.0,1.0,
a8f760b23c592ab2d0c7b4dcc416cac2,0.0,0.0,0.0,0.0,1.0,
9183b685dd659d42ff4aecc9b31fa1b4,0.0,,,,,
6fb59da9520f7fd047cc11d106139cdd,0.0,,,,,
05159e363a4357e87cc0c291668d5688,0.0,,,,,
1582f9a72b779a341be28e0506b88c6b,0.0,,,,,
9b3172dffd85b3c72cc291ca0a5a06b1,0.0,,,,,
e98ec5700b6d43bc250ef12727445945,0.0,,,,,
03c9f3805faa282060be6b409c25d7d9,0.0,,,,,
e38abf00169b5f27fe1bb6b46c301fd1,0.0,,,,,
f1429397fd4abfa0ae7578a14938f87f,0.3080738874534649,1.755708756714319,2.998653750745741,0.5854989947664643,0.558212242326523,
b0186ac168855b0b429ea347b2c18496,0.0,,,,,
f9de802c5ca3d18423eeeaacfc86ada5,0.0,,,,,
733758bb26542230f1bd8ebf71c62850,0.0,,,,,
68075d66d3403eaca229ca3cdeb9c614,0.0,,,,,
3a9a70697289d4d5ec9af2ea3d379674,0.0,,,,,
31cbb0972d83f64d3785852eb2638aff,0.0,0.0,0.0,0.0,1.0,
5e47f16a597b5bb0f78a9a54118f7dc2,0.0,,,,,
291dca8ebf4c5ba3d484059c767e05ae,0.0,,,,,
29b19c343c8a7aca260d9c5be1865443,0.0,0.0,0.0,0.0,1.0,
3e688ee99d9c1ec123f0347fe61678d1,0.0,0.0,0.0,0.0,1.0,
9341ea78b92dedea1f1001325479c124,0.0,,,,,
f99020eff216cb1f55717b5b87840a1b,21.17692468057495,-1.4879318147880807,1.6826451157281264,-0.8842814214833483,0.3765443147613635,0.6751829092272725
d39094b9bcde827f527a4687df997248,0.0,,,,,
1bcef9fb92a1be4073c6908bcfb5862f,0.0,,,,,
2b78deaa3fa23c883b1a9b14c3f44503,0.44016230443324356,-2.5561028345477976,3.001607169076804,-0.8515780682033656,0.39444831655224005,
17dfdc6dc7e7f28574bbc54dd5a2a303,0.4810408962483016,-2.649086789538765,2.9996501298145493,-0.8831319236895613,0.3771649976583404,
976dfedcf85fd87343054d88d2e6770c,0.0,,,,,
f7282b6eaba29b51a6346236982d0fa4,0.0,,,,,
bbcc9f582aba5d20e14d72a3ca4e2a3e,0.0,,,,,
46bf5ea9a5d05c03cb179f79165f5021,0.7528550112253328,0.8998293776606715,2.979746213258872,0.3019818847849298,0.7626658725172271,
b5c5a2ae4aba5cd9490e1e8bfe210d46,0.7235061705876596,2.6997201078151956,2.9839118590749276,0.9047586642362027,0.36559325468511156,
6f26203880c873be741cca5ba51f4017,0.0,0.0,0.0,0.0,1.0,
bddd3e839356ae949c1f0827b7e3a4ff,0.0,,,,,
9c0ebcf1b6407b8b109643f7c540cfb6,0.0,,,,,
3b5ac215623fda9da053723d65daaace,0.0,,,,,
b260160039e288b0518aee3ef1ec8f18,0.0,,,,,
8593d80a9be0e78bdef56878ac2b255f,0.0,,,,,
fea601a58c4b691def20a4a8a3ccabbb,0.0,,,,,
1c5328f5f019c47189a675e1719f456d,1.8381680148994028,4.114213035977377,2.967000408096641,1.3866573879633146,0.16554626005227305,
2c2d729d268440d5759b90ff8e81c9a1,0.0,,,,,
dbec985cf1d46e0b059d2101fa3c0a91,0.0,,,,,
5a041ec85eae0e5c6b5204b0b95096e9,0.0,,,,,
4bb08d6ed010edf92e2bd9ebd6ad43ed,0.0,,,,,
584fdf8bbfa68c6c266325954e51dbdb,0.0,,,,,
ef9ff73dac75d4818ba350f802a26b53,0.0,,,,,
1f9ac17e58258ab94b4aef5d4e047dd3,0.0,,,,,
33d18252bb73445748d3a71c7a81a9a7,0.0,,,,,
cedcfa9221bf697c79ed4f35bab0af3a,0.0,,,,,
975c3401bf8cb52fcce4ebfca3c2b037,22.657035017286848,-2.136894846475353,1.5104921769938557,-1.414701035213667,0.15715617074095245,0.3914079417225045
8ec660c61f326b97237439fc6dbdc348,1.6958182154810786,3.9924217157339883,2.967906658016532,1.3451978703407557,0.17856134378966604,
1dfc65b75fefc6955e277e3a71c8267a,0.0,0.0,0.0,0.0,1.0,
d811dcdf215d137da01a44cc813bf455,0.0,0.0,0.0,0.0,1.0,
aaf202b16903d1f69a6d7531d6e4a021,12.427109010869996,-2.2326746979453156,2.5052500456186646,-0.8911983463885988,0.37282277138954323,0.6743830216570795
da0a90a615a9137f70396037b58b87b4,0.0,,,,,
d9b18247efe9e33113bd2c5e4dfb26c6,11.91660988752448,0.0006059473299535545,1.9420967041986157,0.0003120067752772341,0.9997510546151794,0.9997530812836255
4d1e1e3a1217c833029fb8aa4a49ecbf,0.0,,,,,
53ce8e09d5b0c6dd807727bf138ea420,0.0,,,,,
4a2be7db015cd62ad51ac14b3ea4867a,23.000422879161523,-1.3697607904705165,1.8615231155781136,-0.7358279781796447,0.46183539215209546,0.7512948124604268
43be842175a1a661ab2107d06408a667,62.87524480064618,-0.3707336247122225,0.5959348527605031,-0.622104283706351,0.5338732984069152,0.7909604008923957
bdea7d924518d0bc9a88dfd39b40dfe3,0.0,,,,,
b17c0be8ddb675faa37f89b2896f6967,13.126535625682399,-1.1689939347494998,1.8257864646542692,-0.6402687046816619,0.5219979229035181,0.7831111119052544
0497a460064801a80adc7d600facd456,0.0,,,,,
dd91382ea678b4d1eedf06fffa2f04dc,0.0,,,,,
